723,886204
302,471220
602,275868
813,1144337
462,212204
392,383056
324,294810
635,462669
375,321795
673,371639
434,240396
403,330784
313,522040
450,181792
733,548573
258,149922
703,995415
448,370704
451,268154
422,354228
599,451803
343,211765
509,483540
251,149019
446,316018
315,793059
516,272670
377,202382
644,418214
750,522030
300,411164
608,557489
451,306320
334,383427
376,235025
366,323207
378,242420
525,175409
495,321227
469,264183
304,101178
436,223393
453,544884
422,286095
424,278232
654,465019
539,514125
590,395573
338,106416
490,362912
306,222403
575,381148
428,326180
470,333847
298,62836
488,273556
322,53607
421,718837
162,121084
367,283418
240,72809
384,139593
248,42372
396,148379
645,1676169
408,665575
219,114553
486,696338
682,245333
85,129601
264,117927
418,118992
186,115099
585,431620
91,144337
250,174578
536,345198
370,106072
453,522371
416,228554
401,252257
521,317542
10,2138
218,116994
576,496749
226,138661
443,128306
384,279093
377,272534
188,120798
286,58137
288,485430
280,305340
653,682155
712,928227
642,1468200
1,374
645,637246
187,272223
